airfield,facility_name,facility_type,organization,location,description,citation
SIG (Fernando Luis Ribas Dominicci Airport),Modern Aviation FBO (Isla Grande),FBO / MRO,Modern Aviation,"SIG, San Juan","State-of-the-art FBO and Part-145 repair station at Isla Grande offering hangars, passenger terminal and lounge, GPU, aircraft maintenance, Garmin-certified avionics shop, quick U.S. Customs and USDA inspection, and 24/7 operations; facility also offers hangar and office space totaling around 40,000 sq ft with additional 48,000 sq ft hangars constructed in 2024",prior analysis citation retained
SIG (Fernando Luis Ribas Dominicci Airport),Benitez Aviation Flying School,Flight school,Benitez Aviation,"Hangar 12, North Ramp, SIG","FAA Part 61 training school at Isla Grande offering training for rotorcraft and fixed-wing pilots.",prior analysis citation retained
SIG (Fernando Luis Ribas Dominicci Airport),Inter American University of Puerto Rico - School of Aeronautics,Flight school,Inter American University of Puerto Rico,"SIG, San Juan","University flight school providing pilot training.",prior analysis citation retained
SJU (Luis Munoz Marin International Airport),Jet Aviation San Juan FBO,FBO,Jet Aviation,"East Ramp, SJU","Full-service FBO at SJU with facilities, aircraft parking ramp, pilot lounge, flight planning, crew areas, and on-site U.S. Customs and Border Protection terminal.",prior analysis citation retained
SJU (Luis Munoz Marin International Airport),Airport Aviation Services / Avia Service PR FBO,FBO,"Airport Aviation Services, Inc.","SJU, San Juan","Corporate aviation FBO serving commercial and corporate aviation with ramp, hangar, passenger terminal, pilot lounge, fuel and customs services.",prior analysis citation retained
SJU (Luis Munoz Marin International Airport),FedEx Express San Juan Ramp,Cargo facility,FedEx Express,SJU cargo apron,"Ramp operation integrating pickup and air operations with sorting, truck docks, refrigerated and temperature-controlled areas.",prior analysis citation retained
SJU (Luis Munoz Marin International Airport),DHL Global Forwarding San Juan Cold-Chain Warehouse,Cargo facility,DHL Global Forwarding,"San Juan near SJU","Cold-chain logistics warehouse supporting temperature-controlled life-sciences cargo.",prior analysis citation retained
SJU (Luis Munoz Marin International Airport),Kingfisher Air Services,Cargo carrier,Kingfisher Air Services,"San Juan","Contracted DHL Caribbean cargo carrier operating Cessna Caravan routes from San Juan.",prior analysis citation retained
SJU (Luis Munoz Marin International Airport),National Weather Service San Juan Forecast Office,Weather office,National Weather Service,"4000 Carretera 190, Carolina, PR 00979","Weather Forecast Office providing local forecasts and aviation weather services.",prior analysis citation retained
SJU (Luis Munoz Marin International Airport),156th Wing - Puerto Rico Air National Guard,Military unit,Puerto Rico Air National Guard,"Muniz Air National Guard Base, Carolina","Primary Puerto Rico Air National Guard unit at Muniz Air National Guard Base.",prior analysis citation retained
SJU (Luis Munoz Marin International Airport),USPS Base Muniz,Postal facility,United States Postal Service,"Base Muniz, Carolina, PR 00979","USPS facility located at Base Muniz near the airport.",prior analysis citation retained
BQN (Rafael Hernandez International Airport),Copeca Jet Center,FBO,Copeca Jet Center,"BQN, Aguadilla","FBO at BQN with hangar space, open ramp and concierge services; customs available.",prior analysis citation retained
BQN (Rafael Hernandez International Airport),Lufthansa Technik Puerto Rico,MRO facility,Lufthansa Technik,"BQN, Aguadilla","Airframe maintenance and overhaul facility focused on Airbus A320 family aircraft.",prior analysis citation retained
BQN (Rafael Hernandez International Airport),Coast Guard Air Station Borinquen,Government/military facility,U.S. Coast Guard,"Rafael Hernandez Airport, Aguadilla","Coast Guard air station supporting search and rescue, law-enforcement and logistics missions.",prior analysis citation retained
BQN (Rafael Hernandez International Airport),CBP Caribbean Air and Marine Branch,Federal law-enforcement unit,"U.S. Customs and Border Protection Air and Marine Operations","BQN, Aguadilla","CBP Air and Marine Operations Caribbean branch based at Aguadilla.",prior analysis citation retained
PSE (Mercedita International Airport),South Puerto Rico Aeroservice,FBO,South Puerto Rico Aeroservice,"PSE, Ponce","FBO at Mercedita Airport with 24-hour operations.",prior analysis citation retained
TJRV (Jose Aponte de la Torre Airport Ceiba),Modern Aviation Ceiba FBO,FBO / MRO,Modern Aviation,"TJRV, Ceiba","FBO and maintenance facility at Ceiba offering aircraft parking, hangars, GPU, passenger terminal, charter, catering, customs and USDA inspections.",prior analysis citation retained
MAZ (Eugenio Maria de Hostos Airport),Mayaguez Airport Airport Operations,Airport operations,Puerto Rico Ports Authority,Mayaguez,"Regional airport with limited services and no public FBO/fuel identified.",prior analysis citation retained
ARE (Antonio Nery Juarbe Pol Airport Arecibo),Arecibo Airport Airport Operations,Airport operations,Puerto Rico Ports Authority,Arecibo,"Regional airport with tiedown parking and limited public services.",prior analysis citation retained
Helipad - Centro Medico Field (2PR9),Centro Medico Field Heliport,Helipad,Administracion de Servicios Medicos de Puerto Rico,"San Juan; 18.3902778,-66.0719444","Private-use hospital helipad at Centro Medico.",prior analysis citation retained
Helipad - Hospital General de Castaner (15PR),Hospital General de Castaner Heliport,Helipad,Hospital General de Castaner,"Castaner; 18.1600000,-66.7900000","Private-use medical helipad.",prior analysis citation retained
Helipad - PR17 Prasa-Barbosa Heliport,Prasa-Barbosa Heliport,Helipad,Puerto Rico Aqueduct and Sewer Authority,"San Juan; 18.4141133,-66.0437767","Private-use utility infrastructure heliport.",prior analysis citation retained
Helipad - PR19 Orocovis Health Center,Orocovis Health Center Heliport,Helipad,Puerto Rico Department of Health,"Orocovis; 18.2266217,-66.3943367","Private-use medical heliport.",prior analysis citation retained
Helipad - PR21 Fort Buchanan Heliport,Fort Buchanan Heliport,Helipad,United States Army,"Fort Buchanan; 18.4150000,-66.1319450","Private military heliport.",prior analysis citation retained
Helipad - PR33 Bayamon Regional Hospital Heliport,Bayamon Regional Hospital Heliport,Helipad,Puerto Rico Department of Health,"Bayamon; 18.3665300,-66.1543433","Private medical heliport.",prior analysis citation retained
Helipad - PR23 Baxter-Aibonito Heliport,Baxter-Aibonito Heliport,Helipad,Baxter Healthcare Corp. of Puerto Rico,"Aibonito; 18.1374533,-66.2588050","Private industrial rooftop helipad.",prior analysis citation retained
